Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
304,3327,60.05,8.93,0.87,5.98,24.17,Majority White,1998,297,29,199,804
305,7764,69.47,3.17,0,5.9,21.46,Majority White,5394,246,0,458,1666
306.01,4745,60.06,15.47,0,8.41,16.06,Majority White,2850,734,0,399,762
306.03,2234,43.42,30.93,2.33,10.83,12.49,Majority White,970,691,52,242,279
306.04,3267,45.91,22.22,0,25.99,5.88,Majority White,1500,726,0,849,192
307.01,1687,52.7,22.94,0.53,14.82,9.01,Majority White,889,387,9,250,152
307.02,1005,63.48,10.75,0,22.69,3.08,Majority White,638,108,0,228,31
307.03,2806,61.76,19.03,1.28,4.35,13.58,Majority White,1733,534,36,122,381
307.06,4491,57.6,14.27,0,21.53,6.59,Majority White,2587,641,0,967,296
308,4682,74.6,3.84,0,8.54,13.01,Majority White,3493,180,0,400,609
309,3307,61.93,14.91,0.15,9.89,13.12,Majority White,2048,493,5,327,434
310,4456,74.21,4.02,0,7.41,14.36,Majority White,3307,179,0,330,640
311,4913,67.19,2.4,0.24,10.75,19.42,Majority White,3301,118,12,528,954
312,6320,55.84,19.72,0.74,10.98,12.72,Majority White,3529,1246,47,694,804
313,8545,49.74,20.78,0.27,19.12,10.09,Majority White,4250,1776,23,1634,862
314,5163,71.12,12.24,0.08,9.16,7.4,Majority White,3672,632,4,473,382
315.01,4154,40.8,28.43,0,20.1,10.66,Majority White,1695,1181,0,835,443
